,0,1
0,311.5,671.5
1,314.0,771.0
2,328.5,870.0
3,350.5,968.0
4,381.0,1065.5
5,429.5,1157.5
6,486.0,1240.0
7,555.5,1304.5
8,647.0,1324.0
9,740.0,1302.0
10,810.5,1235.5
11,868.0,1150.0
12,916.5,1061.5
13,946.5,967.5
14,969.0,871.5
15,985.5,773.5
16,989.0,673.5
17,372.0,629.0
18,415.5,588.0
19,477.5,579.5
20,539.0,590.0
21,599.5,614.0
22,716.0,612.5
23,775.5,587.0
24,836.5,575.0
25,898.0,586.0
26,938.5,631.0
27,656.0,684.5
28,655.5,758.5
29,656.0,832.0
30,656.0,908.5
31,577.0,938.5
32,613.5,952.0
33,653.0,965.0
34,692.5,951.5
35,729.5,938.5
36,443.5,684.5
37,481.0,660.5
38,527.0,662.5
39,564.0,695.5
40,521.0,701.5
41,476.5,701.0
42,746.5,695.0
43,786.0,663.5
44,832.5,662.0
45,868.5,686.0
46,834.5,701.0
47,789.0,701.0
48,504.5,1042.5
49,554.0,1031.5
50,610.5,1026.5
51,652.5,1037.5
52,693.0,1026.5
53,745.5,1034.5
54,792.0,1046.5
55,746.5,1110.5
56,695.0,1143.5
57,650.5,1149.0
58,604.5,1142.5
59,550.0,1109.0
60,522.5,1050.5
61,609.0,1057.5
62,652.0,1063.5
63,693.5,1057.5
64,773.5,1053.5
65,693.5,1089.0
66,651.0,1096.0
67,607.5,1089.0
68,0.0,0.0
69,668.0,0.0
70,1337.0,0.0
71,1337.0,869.0
72,1337.0,1738.0
73,668.0,1738.0
74,0.0,1738.0
75,0.0,869.0
